Locus_Name	Alias_Name	Description	Gene_Product	Phenotype	ORF_Name	SGDID
TSL1		123 kD regulatory subunit of trehalose-6-phosphate synthase/phosphatase complex; homologous to TPS3 gene product	similar to TPS3 gene product|trehalose-6-phosphate synthase/phosphatase complex 123 kDa regulatory subunit	Null mutant is viable	YML100W	S0004566
TSM0039				temperature sensitive lethal		L0002371
TSM0070				temperature sensitive lethal		L0002372
TSM0080				temperature sensitive lethal		L0002373
TSM0111				temperature sensitive lethal		L0002374
TSM0119				temperature sensitive lethal		L0002375
TSM0120				temperature sensitive lethal		L0002376
TSM0139				temperature sensitive lethal		L0002377
TSM0151				temperature sensitive lethal		L0002378
TSM0186				temperature sensitive lethal		L0002379
TSM0225				temperature sensitive lethal		L0002380
TSM0800				temperature sensitive lethal		L0002381
TSM134				temperature sensitive lethal		L0002369
TSM437				temperature sensitive lethal		L0002370
TSM5				temperature sensitive lethal		L0002368
TSM5162				temperature sensitive lethal		L0002382
TSM8740				Null mutant is inviable		L0002383
TSR1		<b><u>T</u></b>wenty <b><u>S</u></b> <b><u>r</u></b>RNA accumulation		essential	YDL060W	S0002218
TSR2		<b><u>T</u></b>wenty <b><u>S</u></b> <b><u>r</u></b>RNA accumulation			YLR435W	S0004427
TTR1	GRX2	Glutaredoxin (thioltransferase) (glutathione reductase)	EC 1.20.4.1|glutaredoxin|thioltransferase/glutathione reductase		YDR513W	S0002921
TTR2				triethyltin resistant, have increased intracellular cytochrome c concentration, increased respiration rate, decreased growth yield, increased growth sensitivity to several drugs inhibiting oxidative phosphorylation: namely, CCCP (permeabilizing inner mitochondrial membrane to protons), valinomycin (permeabilizing inner mitochondrial membrane to potassium) and oligomycin (inhibitor of mitochondrial ATPase), and increased sensitivity to carbon source starvation		L0004254
TTR3				triethyltin resistant, have increased intracellular cytochrome c concentration, increased respiration rate, decreased growth yield, increased growth sensitivity to several drugs inhibiting oxidative phosphorylation: namely, CCCP (permeabilizing inner mitochondrial membrane to protons), valinomycin (permeabilizing inner mitochondrial membrane to potassium) and oligomycin (inhibitor of mitochondrial ATPase), and increased sensitivity to carbon source starvation		L0004255
TUB1		alpha-tubulin	alpha-tubulin	Null mutant is inviable; heterozygous tub1 null diploids are slow growing and sporulate poorly	YML085C	S0004550
TUB2	ARM10|SHE8	beta subunit of tubulin monomer; involved in chromosome segregation and nuclear migration	beta-tubulin	null is inviable; conditional mutants show block of mitotic nuclear migration and chromosome segregation and defects in spindle and/or cytoplasmic microtubules at non-permissive conditions; some mutants are benomyl-hypersensitive	YFL037W	S0001857
TUB3		alpha-tubulin	alpha-tubulin	Null mutant is viable, hypersensitive to benomyl, exhibits poor spore viability	YML124C	S0004593
TUB4		spindle pole body component that organizes both cytoplasmic and nuclear microtubule arrays	gamma tubulin|interacts with Spc98p and Spc97p, the Tub4p-Spc98p-Spc97p complex may be part of the microtubule attachment site at the spindle pole body	Null mutant is inviable. Tub4p-depleted cells arrest during nuclear division; most arrested cells contain a large bud, replicated DNA, and a single nucleus. Immunofluorescence and nuclear staining experiments indicate that cells depleted of Tub4p contain defects in the organization of both cytoplasmic and nuclear microtubule arrays; such cells exhibit nuclear migration failure, defects in spindle formation, and/or aberrantly long cytoplasmic microtubule arrays.	YLR212C	S0004202
TUF1		Translation elongation factor Tu, mitochondrial	translation elongation factor Tu, mitochondrial	Null mutant is viable, blocks mitochondrial translation and destabilizes mitochondrial genome.	YOR187W	S0005713
TUL1		Transmembrane Ubiquitin Ligase	RING-domain E3 ubiquitin ligase	Null: Blocks ubiquitin-dependent sorting of some proteins (e.g. Cps1p, Phm5p) into multivesicular bodies	YKL034W	S0001517
TUP1	AAR1|AER2|AMM1|CRT4|CYC9|FLK1|ROX4|SFL2|UMR7	general repressor of transcription (with Cyc8p); mediates glucose repression	glucose repression regulatory protein, exhibits similarity to beta subunits of G proteins	Null mutant is viable; exhibits flocculent colony morphology	YCR084C	S0000680
TUP4				tup4 mutants are permeable to dTMP and display markedly elevated rates of inorganic phosphate transport		L0002392
TUS1	SOP10	TOR Unique function Suppressor; exchange factor for RHO1	1307 amino acid hydrophilic protein	Null mutant is viable; shows temperature sensitive growth above 37^*C, but no detectable secretory or endocytosis defect.	YLR425W	S0004417
TVP15		Tlg2-Vesicle Protein of 15 kDa	integral membrane protein	Null: no notable phenotype	YDR100W	S0002507
TVP18		Tlg2-Vesicle Protein of 18 kDa	integral membrane protein	Null: no notable phenotype	YMR071C	S0004675
TVP23		Tlg2-Vesicle Protein of 23 kDa	integral membrane protein	Null: no notable phenotype	YDR084C	S0002491
TVP38		Tlg2-Vesicle Protein of 38 kDa	integral membrane protein	Null: no notable phenotype	YKR088C	S0001796
TWF1		Twinfilin A is a member of a conserved family of actin monomer sequestering proteins. TWF1 is comprised almost entirely of two tandem repeats, each having sequence homology with cofilin (COF1).	twinfilin A, an actin monomer sequestering protein	Null mutant is viable, twf1 null cof1-22 mutants exhibit synthetic lethality	YGR080W	S0003312
TYE1		Required for Ty mediated expression of ADH2		tye1 mutations suppresses transcription of ADH2 when associated with a Ty element, or when ADH2 is controlled by a polyA/T insertion mutation; tye1 mutants are defective in transcription of all Ty1 and Ty2 elements		L0004774
TYE5		Required for Ty mediated expression of ADH2		tye5 mutations suppresses transcription of ADH2 when associated with a Ty element, or when ADH2 is controlled by a polyA/T insertion mutation; tye5 mutants are defective in transcription of all Ty1 and Ty2 elements		L0004775
TYE7	SGC1	may be involved in glycolytic gene expression	33 kDa|serine-rich protein, is a potential member of the bHLH/leucine-zipper protein family	Null mutant is viable; expression of enolase genes is reduced three-fivefold in null mutant; gcr1 tye7 double deletion mutants exhibit additive defects in enolase expression. TYE7 was isolated as a dominant suppressor of gcr1 mutations	YOR344C	S0005871
TYR1		Step of tyrosine biosynthesis pathway	prephenate dehydrogenase (NADP+)	tyrosine-requiring	YBR166C	S0000370
TYS1	TTS1|TYRRS	tyrosyl-tRNA synthetase, cytoplasmic	tyrosine-tRNA ligase	Null mutant is inviable.	YGR185C	S0003417
UAF30		Topoisomerase 1 and RAD52 epistasis group Interactions		Null mutant is viable but exhibits slow growth. A double mutant with top1 is inviable.	YOR295W	S0005821
UBA1		similar to Uba2p	ubiquitin activating enzyme e1	Null mutant is inviable	YKL210W	S0001693
UBA2	UAL1	Protein with homology to mammalian ubiquitin activating (E1) enzyme		Null mutant is inviable	YDR390C	S0002798
UBA3		Required for activation of RUB1 (ubiquitin-like protein) together with ULA1. Related to UBA2 and to N-terminus of UBA1. Collaborates with UBC12 in conjugation of RUB1 to other proteins. Required for modification of CDC53/cullin with RUB1.	ubiquitin-like protein activating enzyme	Null mutant is viable with no obvious phenotypes. Synthetically lethal with cdc34(ubc3) ts mutant	YPR066W	S0006270
UBA4		Ubiquitin activating enzyme			YHR111W	S0001153
UBC1		ubiquitin-conjugating enzyme	ubiquitin-conjugating enzyme	Null mutant is viable but exhibit moderately slow growth.	YDR177W	S0002584
UBC11		homolog of ubiquitin carrier protein E2-C		Null mutant is viable	YOR339C	S0005866
UBC12		Required for conjugation of RUB1 (ubiquitin-like protein) to other proteins. Collaborates with ULA1/UBA3 RUB1-activating enzyme. Related to ubiquitin-conjugating enzymes (UBC1-8, UBC10-11, UBC13). Related to SMT3-conjugating enzyme UBC9	ubiquitin-conjugating enzyme	Null mutant is viable with no obvious phenotypes. Synthetically lethal with cdc34(ubc3) ts mutant	YLR306W	S0004297
UBC13		ubiquitin-conjugating enzyme	ubiquitin-conjugating enzyme		YDR092W	S0002499
UBC4		One of several UBC genes encoding ubiquitin-conjugating enzymes that attach ubiquitin to proteins.	ubiquitin conjugating enzyme e2	Overexpression confers resistance to methylmercury. The ubc4ubc5 double mutant is temperature sensitive, reduces turnover of short-lived proteins and canavanyl-peptides but not of long-lived proteins.	YBR082C	S0000286
UBC5		ubiquitin-conjugating enzyme	ubiquitin-conjugating enzyme	viable, ubc4/ubc5 double mutant is temperature sensitive	YDR059C	S0002466
UBC6	DOA2	ubiquitin-conjugating enzyme	ubiquitin-conjugating enzyme	Null mutant is viable	YER100W	S0000902
UBC8		Ubiquitin-conjugating enzyme that is able to ubiquitinate histones in vitro	ubiquitin-conjugating enzyme|ubiquitin-protein ligase	Null mutant is viable	YEL012W	S0000738
UBC9		Conjugates Smt3p to proteins	SUMO-conjugating enzyme	Null mutant is inviable	YDL064W	S0002222
UBI4	SCD2|UB14	UBI4 locus contains five-six tandem, in-frame copies of ubiquitin protein coding sequence (depending on strain background)(PMID:6095120, 3038523)<br>transcription of UBI4 is induced in response to several stress conditions	poly-ubiquitin|ubiquitin	Null mutant is viable, grows at wild-type rates and contains wild-type levels of free ubiquitin under exponential growth conditions, hypersensitive to high temperatures, starvation and amino acid analogs; although ubi4/UBI4 diploids form initially viable spores, the two ubi4 spores lose viability extremely rapidly; homozygous ubi4/ubi4 diploids are sporulation defective	YLL039C	S0003962
UBP1		Ubiquitin-specific protease	ubiquitin-specific protease	Null mutant is viable. Null yuh1 ubp1 ubp2 ubp3 quadruple mutants are viable and retain the ability to deubiquitinate ubiquitin fusions. UBP1 is a dosage dependent suppressor of rsp5 mutations	YDL122W	S0002280
UBP10	DOT4	involved in telomeric silencing	ubiquitin-processing protease (putative)	Null mutant is viable, exhibits decreased telomeric silencing; UBP10(DOT4) overexpression reduces silencing at the HM, rDNA, and telomeric loci	YNL186W	S0005130
UBP11		Ubiquitin-specific protease	ubiquitin-specific protease	viable	YKR098C	S0001806
UBP12		ubiquitin carboxyl-terminal hydrolase	ubiquitin carboxyl-terminal hydrolase		YJL197W	S0003733
UBP13		similar to Ubp9p	ubiquitin carboxyl-terminal hydrolase		YBL067C	S0000163
UBP14		Functional homolog of mammalian isopeptidase T; may facilitate proteolysis by preventing unanchored ubiquitin chains from competitively inhibiting polyubiquitin-substrate binding to the 26S proteasome	ubiquitin-specific protease	Null mutant is viable but show accumulation of free ubiquitin chains, which correlates with defects in ubiquitin-dependent proteolysis; overexpression of mutant or wild-type Ubp14p can inhibit protein degration too	YBR058C	S0000262
UBP15		putative deubiquitinating enzyme	deubiquitinating enzyme (putative)		YMR304W	S0004920
UBP16		putative deubiquitinating enzyme	deubiquitinating enzyme (putative)		YPL072W	S0005993
UBP2		Ubiquitin-specific protease	ubiquitin-specific protease	Null mutant is viable. Null yuh1 ubp1 ubp2 ubp3 quadruple mutants are viable and retain the ability to deubiquitinate ubiquitin fusions.	YOR124C	S0005650
UBP3		Possible role for UBP3 in controlling the activity or assembly of the SIR protein complex.	ubiquitin-specific protease	Null mutant is viable. Null yuh1 ubp1 ubp2 ubp3 quadruple mutants are viable and retain the ability to deubiquitinate ubiquitin fusions. Deletion of the UBP3 gene results in markedly improved silencing of genes inserted either near a telomere or at one of the silent mating type loci.	YER151C	S0000953
UBP5		Putative Ubiquitin-specific protease	ubiquitin-specific protease (putative)	Null mutant is viable	YER144C	S0000946
UBP6		deubiquitinating enzyme (putative)			YFR010W	S0001906
UBP7		Ubiquitin-specific protease	ubiquitin-specific protease		YIL156W	S0001418
UBP8		putative deubiquitinating enzyme	deubiquitinating enzyme (putative)		YMR223W	S0004836
UBP9		similar to Ubp13p	ubiquitin carboxyl-terminal hydrolase		YER098W	S0000900
UBR1	PTR1	Ubiquitin-protein ligase	ubiquitin-protein ligase	Null mutant is viable, unable to degrade substrates of the N-end rule pathway, partially defective in sporulation	YGR184C	S0003416
UBR2		ubiquitin-protein ligase (E3)	ubiquitin-protein ligase (E3)		YLR024C	S0004014
UBS1		General positive regulator of CDC34; Suppress some cdc34 mutations when over-expressed		Null mutant is viable but exhibits a synthetic phenotype with temperature-sensitive alleles of cdc34.	YBR165W	S0000369
UDT1		Involved in transcription of HEM12		Slight accumulation in levels of uroporphyrogen		L0002914
UFD1		Ubiquitin fusion degradation protein		Homozygous ufd1-1 mutant diploids exhibit sporulation defects. loss of Ufd1 blocks ER-associated protein degradation at a post-ubiquitination but pre-proteasome step.	YGR048W	S0003280
UFD2		Ubiquitin fusion degradation protein	ubiquitin conjugating factor e4	Null mutant is viable but exhibits increased sensitivity to ethanol stress.	YDL190C	S0002349
UFD4		Ubiquitin Fusion Degradation	ubiquitin ligase e3	Null is viable; defective in proteolysis of fusion proteins containing a 'nonremovable' N-terminal ubiquitin moiety	YKL010C	S0001493
UFE1	YOR29-26	t-SNARE that resides on the endoplasmic reticulum and mediates retrograde traffic from the Golgi complex	t-SNARE (ER)	Null mutant is inviable	YOR075W	S0005601
UFO1		F-box protein	F-box protein	Null mutant is viable and UV sensitive	YML088W	S0004553
UGA1		gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)	gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)		YGR019W	S0003251
UGA2	UGA5	involved in utilization of GABA as a nitrogen source	succinate semialdehyde dehydrogenase	Null mutant is viable but cannot grow with GABA as the only nitrogen source.	YBR006W	S0000210
UGA3		Transcriptional activator necessary for gamma-aminobutyrate (GABA)-dependent induction of GABA genes (such as UGA1, UGA2, UGA4)	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type	Null mutant is viable but exhibits defects in activation of UGA1 and UGA4.	YDL170W	S0002329
UGA4		GABA-specific transport protein	GABA-specific transport protein	Null mutant is viable.	YDL210W	S0002369
UGO1		outer membrane protein required for for mitochondrial fusion	outer membrane protein	Null mutant is viable but defective in mitochondrial fusion. Null mutant also exhibits fragmentation of mitochondria, loss of mtDNA, and inviability on nonfermentable carbon sources.	YDR470C	S0002878
UGP1		EC:2.7.7.9<br>UDP-glucose pyrophosphorylase or UTP-glucose-1-phosphate uridylyltransferase	uridinephosphoglucose pyrophosphorylase	Null mutant is inviable, probably due to inability to properly form the cell wall	YKL035W	S0001518
UGT51		Udp-glycosyltransferase	UDP-glucose:sterol glucosyltransferase	Null mutant is viable and unable to synthesize sterol glucoside	YLR189C	S0004179
UGX2		Product of gene unknown			YDL169C	S0002328
UIP3		Ulp1 Interacting Protein 3			YAR027W	S0000075
UIP4		Ulp1 Interacting Protein 4			YPL186C	S0006107
UIP5		Ulp1 Interacting Protein 5			YKR044W	S0001752
ULA1	ENR2	Required for activation of RUB1 (ubiquitin-like protein) together with UBA3. Related to AOS1 and to N-terminus of UBA1. Collaborates with UBC12 in conjugation of RUB1 to other proteins. Required for modification of CDC53/cullin with RUB1		Null mutant is viable with no obvious mutant phenotype, is synthetically lethal with cdc34(ubc3) ts mutant, and enhances the phenotypes of cdc4, cdc53, and skp1 mutants	YPL003W	S0005924
ULP1		Ubl (ubiquitin-like protein)-specific protease 1; initially processes Smt3; also acts as a deconjugating enzyme for Smt3	Smt3-specific protease	Null mutant is lethal. Temperature-sensitive mutants accumulate in G2/M at the restrictive temperature	YPL020C	S0005941
ULP2	SMT4	Peptidase that removes SUMO-conjugates from proteins		Null mutant is viable but exhibits temperature-sensitive growth, abnormal cell morphology, decreased plasmid and chromosome stability, and a severe sporulation defect as well as hypersensitivity to DNA-damaging agents, hydroxyurea, and benomyl. SMT4/ULP2 was also isolated as a high copy suppressor of a temperature sensitive mutation in MIF2, a putative centromere protein gene	YIL031W	S0001293
UME1	WTM3	Negative regulator of meiosis. Unscheduled Meiotic gene Expression.	transcriptional modulator	Null mutant is viable, expression of the meiotic gene IME2 in null haploid	YPL139C	S0006060
UME6	CAR80|NIM2|RIM16	Regulator of both repression and induction of early meiotic genes. Ume6p requires Ume4 for mitotic repression and interacts with and requires Ime1p and Rim11p for induction of meiosis-specific transcription	C6 zinc finger URS1-binding protein	Null mutant is viable. Exhibits defects in IME1-dependent activation and repression through URS1 sites. ume6 does not require Mata/Matalpha, starvation, IME1, or IME2 for derepressed expression in mitosis and is epistatic to lethality of IME1 overexpression in haploids.	YDR207C	S0002615
UMP1		Involved in ubiquitin-mediated proteolysis	20S proteasome maturation factor	Null mutant is viable, grows slower than wild-type, is hypersensitive to cadmium ions and canavanine, accumulates Ub-protein conjugates; ump1 null homozygous diploids fail to sporulate	YBR173C	S0000377
UNG1		uracil DNA glycosylase	uracil DNA glycosylase	Null mutant is viable. Strains containing an ung1 mutation have an increased sensitivity to sodium bisulfite and sodium nitrite but a wild-type sensitivity to methyl methanesulfonate, UV light, and drugs that cause depletion of the thymidylate pool.	YML021C	S0004483
UPC2	MOX4	involved in sterol uptake	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type	Null mutant is viable; upc2-1 allele shows altered sterol uptake	YDR213W	S0002621
UPF3	SUA6	factor stimulating decay of mRNAs containing premature stop codons; acts with Nmd2p and Nam7p		Null mutant is viable but shows increased accumulation of mRNA containing a premature stop codon due to mRNA stabilization	YGR072W	S0003304
URA1		The enzyme catalyzes the conversion of dihydroorotic acid to orotic acid	dihydroorotate dehydrogenase	uracil requiring	YKL216W	S0001699
URA10		Fifth step in pyrimidine bio5	orotate phosphoribosyltransferase 2	Null mutant is viable	YMR271C	S0004884
URA2		First and second steps of pyrimidine biosynthesis	aspartate transcarbamylase|carbamoyl phosphate synthetase|glutamine amidotransferase	uracil requiring	YJL130C	S0003666
URA3		orotidine-5'-phosphate decarboxylase	orotidine-5'-phosphate decarboxylase	Null mutant is viable, uracil auxotroph	YEL021W	S0000747
URA4		Third step in pyrimidine biosynthesis pathway	dihydrooratase	Null mutant is viable and requires uracil	YLR420W	S0004412
URA5	PYR5	Fifth step in pyrimidine biosynthesis pathway	orotate phosphoribosyltransferase 1	Null mutant is viable	YML106W	S0004574
URA6	SOC8		uridine-monophosphate kinase (uridylate kinase)	uracil requiring	YKL024C	S0001507
URA7		Last step in pyrimidine biosynthesis pathway; URA7 is very similar to URA8 CTP synthase	CTP synthase	Null mutant is viable; ura7 ura8 double deletion mutants are inviable	YBL039C	S0000135
URA8		Last step in pyrimidine biosynthesis pathway	CTP synthase	Null mutant is viable. Double deletion of URA7, which also encodes CTP synthetase, and URA8 is lethal	YJR103W	S0003864
URE2	[URE3]	Nitrogen catabolite repression regulator that acts by inhibition of GLN3 in good nitrogen source.  Altered form of Ure2p creates [URE3] prion.	glutathione transferase (putative)|prion|transcriptional regulator	Null mutant is viable but exhibits defects in nitrogen catabolite repression (NCR), and null mutant diploids are defective in pseudohyphal growth and display an increased incidence of random bud patterns.	YNL229C	S0005173
URH1		uridine nucleosidase (uridine ribohydrolase); EC 3.2.2.3	uridine nucleosidase (uridine ribohydrolase); EC 3.2.2.3		YDR400W	S0002808
URK1		converts ATP and uridine to ADP and UMP	uridine kinase		YNR012W	S0005295
URM1		ubiquitin-like protein	ubiquitin-like protein	Null mutant is viable and has temperature-sensitive growth defect at 37 degrees C	YIL008W	S0001270
URR1			transcriptional repressor	urr1 mutations suppress snf1 mutations		L0002443
URR3			transcriptional repressor	urr3 mutations suppress snf1 mutations		L0002444
URR4			transcriptional repressor	urr4 mutations suppress snf1 mutations		L0002445
USA1		Identified by its interaction with the U1 snRNP-specific protein, Snp1p.	pre-mRNA splicing factor (putative)		YML029W	S0004491
USE1		Protein required for cell viability			YGL098W	S0003066
USO1	INT1	involved intracellular protein transport, coiled-coil protein necessary for protein transport from ER to Golgi	integrin analogue gene	Null mutant is inviable	YDL058W	S0002216
UTH1		Youth, involved in determining yeast longevity		extension of yeast lifespan	YKR042W	S0001750
UTP10		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YJL109C	S0003645
UTP11		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YKL099C	S0001582
UTP13		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YLR222C	S0004212
UTP14		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YML093W	S0004558
UTP15		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YMR093W	S0004699
UTP18		U3 protein	U3 snoRNA associated protein|U3 snoRNP protein	Null: lethal. Other phenotypes: required for 18S RNA production	YJL069C	S0003605
UTP19	NOC4	U3 protein, localized to the nucleolus	U3 snoRNP protein	Null: lethal. Other phenotypes: required for 18S RNA production	YPR144C	S0006348
UTP20		U3 protein	U3 snoRNP protein	Null: lethal	YBL004W	S0000100
UTP21		Protein required for cell viability	U3 snoRNP protein		YLR409C	S0004401
UTP22		U3 protein			YGR090W	S0003322
UTP30					YKR060W	S0001768
UTP4		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YDR324C	S0002732
UTP5		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YDR398W	S0002806
UTP6		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YDR449C	S0002857
UTP7		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein	Heterozygous diploid mutant exhibit haploinsufficiency K1 killer toxin resistance	YER082C	S0000884
UTP8		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YGR128C	S0003360
UTP9		part of small (ribosomal) subunit (SSU) processosome (contains U3 snoRNA)	U3 snoRNP protein		YHR196W	S0001239
UTR1		associated with ferric reductase		Null mutant is viable	YJR049C	S0003810
UTR2	CRH2	(alias: <u>C</u>ongo <u>R</u>ed <u>H</u>ypersensitivity)			YEL040W	S0000766
UTR4		Product of gene unknown			YEL038W	S0000764
UTR5		Product of gene unknown			YEL035C	S0000761
VAB2	VAB31	Vac8p binding protein of 31 kDa			YEL005C	S0000731
VAC14		VACuole morphology and inheritance mutant. Vac14 is essential for the regulated synthesis of PtdIns(3,5)P(2), for control of trafficking of some proteins to the vacuole lumen via the MVB, and for maintenance of vacuole size and acidity.	Activator of Fab1p	Null mutant has extremely enlarged vacuoles, is defective in vacuole membrane scission, has a vacuole acidification defect, and is defective in phosphatidylinositol 3,5 bisphosphate synthesis	YLR386W	S0004378
VAC17		vacuole inheritance	the vacuole-specific receptor of Myo2p, a class V myosin	Null: defective in vacuole inheritance	YCL063W	S0000568
VAC6				Vacuolar segregation defect		L0004050
VAC7		Integral 128-kDa vacuolar membrane protein; may function to regulate Fab1 kinase activity.		Null mutant is viable but shows severely swollen vacuoles, figure-eight morphology, and slow growth at 24 degrees	YNL054W	S0004999
VAC8	YEB3	An armadillo repeat-containing protein localized on the vacuolar membrane	armadillo repeat-containing protein	Defective in vacuole inheritance and aminopeptidase I targeting to the vacuole	YEL013W	S0000739
VAL1			tRNA-Val			L0002451
VAM10	YOR29-19	[Abnormal]Vacuole Morphology	Required for normal tethering of vacuoles prior to fusion.	Null: Fragmented vacuoles.	YOR068C	S0005594
VAM3	PTH1	Syntaxin-related protein; required for vacuolar assembly; PEP12 homolog	syntaxin family	Null mutant is viable, defective in processing of vacuolar hydrolases.	YOR106W	S0005632
VAM6	CVT4|VPL18|VPL22|VPS39	Required for the vacuolar morphogenesis in yeast		Null mutant is viable but exhibits defects in processing vacuolar proteases and in maturation of vacuolar alkaline phosphatase. Mutants also exhibit a defective vacuolar morphology; they contain several small vesicles that stain with vacuolar markers.	YDL077C	S0002235
VAM7	VPS43	Regulator of vacuolar morphogenesis	heptad repeat motif|hydrophilic protein	Null mutant is viable, exhibits prominent large vacuoles	YGL212W	S0003180
VAN1	VRG7|VRG8	vanadate resistance protein.	mannosyltransferase	vanadate resistant. van1 is lethal in combination with chs3.	YML115C	S0004583
VAR1	VARI	Mitochondrial ribosomal protein encoded by mitochondrial genome.	mitochondrial ribosomal protein|mitochondrially encoded	The null mutant is inviable. Incomplete 37S subunits of mitochodrial ribosomes are formed in the absence of Var1.	Q0140	S0007275
VAS1		mitochondrial and cytoplasmic valyl-tRNA synthetase	valine-tRNA ligase	Null mutant is inviable	YGR094W	S0003326
VCX1	HUM1|MNR1	Similar to sodium/calcium exchangers, including bovine Na+/Ca2+,K+ antiporter; putative vacuolar transmembrane protein	vacuolar H+/Ca2+ exchanger	Null mutant is viable, sensitive to high Ca2+ conditions	YDL128W	S0002286
VDE	PI-SceI	Vma1p derived endonuclease;a 50 kDa intein derived from the self-splicing of the Tfp1/Vma1 gene product; has endonuclease activity and cleaves at the TFP1/VMA1 gene to stimulate gene conversion during meiosis.		Null mutant is viable.		S0007537
VEL1		Increased in velum formation in flor strain			YGL258W	S0003227
VHS1		Gene whose overexpression suppresses the synthetic lethality of the hal3 sit4 double mutation			YDR247W	S0002655
VHS2		Gene whose overexpression suppresses the synthetic lethality of the hal3 sit4 double mutation			YIL135C	S0001397
VHS3		Gene whose overexpression suppresses the synthetic lethality of the hal3 sit4 double mutation			YOR054C	S0005580
VHT1		vitamin H transporter	H+-biotin symporter	reduced biotin uptake, reduced levels of protein biotinylation	YGR065C	S0003297
VID1		vacuolar import and degradation				L0003110
VID21		Vacuolar import degradation			YDR359C	S0002767
VID22		Vacuole import and degradation		Null mutant is viable but exhibits vacuole degradation of cytosolic proteins	YLR373C	S0004365
VID24		also involved in vacuolar protein targeting	peripheral vesicle membrane protein	Null mutant is viable, defective in fructose-1,6-bisphosphatase dergadation	YBR105C	S0000309
VID27		Vacuole import and degradation		Null mutant is viable but exhibits vacuole degradation of cytosolic proteins	YNL212W	S0005156
VID28		Vacuole import and degradation			YIL017C	S0001279
VID30		vacuole import and degradation (VID); TOR inhibitor (TIN)		Null mutant is viable but exhibits vacuolar degradation of cytosolic proteins; mutants are also sensitive to starvation.	YGL227W	S0003196
VIK1		<u>v</u>egetative <u>i</u>nteraction with <u>K</u>ar3p	Cik1p homolog	Null mutant is viable and resistant to benomyl	YPL253C	S0006174
VIP1		Homologous to S. pombe asp1+			YLR410W	S0004402
VMA10		vacuolar H-ATPase 13 kDa subunit of VO membrane sector	vacuolar ATPase V1 domain subunit G (13 kDa)	Null mutant is viable, fails to grow on media buffered at pH 7.5, fails to accumulate quinacrine in its vacuole	YHR039C-A	S0002100
VMA13	CLS11	vacuolar ATPase V1 domain subunit H (54 kDa)	vacuolar H(+) ATPase V1 sector 54 kDa subunit	Null mutant is viable, V-ATPase complex from null mutants is less stable than from wild-type strains	YPR036W	S0006240
VMA2	ATPVS|VAT2	vacuolar H-ATPase regulatory subunit (subunit b), 60 kDa subunit of V1 sector	vacuolar ATPase V1 domain subunit B (60 kDa)	Null mutant is viable, severely defective for growth in medium buffered at neutral pH	YBR127C	S0000331
VMA21		Protein involved in vacuolar H-ATPase assembly or function. Required for the biogenesis of a functional vacuolar ATPase (V-ATPase), but not part of the final enzyme complex.		Null mutant is viable but grows slowly and exhibits increased calcium sensitivity. Null mutants also cannot grow on glycerol or at pH 7.5	YGR105W	S0003337
VMA22	CEV1|VPH6	Required for V-ATPase activity. Required for the biogenesis of a functional vacuolar ATPase (V-ATPase), but not part of the final enzyme complex.		Null mutant is viable but is defective in vacuolar H(+)-ATPase activity, sensitive to calcium, cyclosporin A, and FK506, and requires calcineurin for viability	YHR060W	S0001102
VMA4		vacuolar ATPase V1 domain subunit E (27 kDa)	E subunit of V1 sector|vacuolar H(+) ATPase 27 kDa subunit	Null mutant is viable, slow growing, cold-sensitive, thermo-sensitive, and exhibits poor growth on glycerol; fails to grow on media supplemented with 100 mM CaCl2 or ZnCl2	YOR332W	S0005859
VMA42		Required for V-ATPase activity		An uncharacterized mutant allele exhibits pH-conditional growth, increased calcium sensitivity, and the inability to grow on glycerol. In addition, the mutant allele does not accumulate the lysosomotropic dye quinacrine in their vacuoles.		L0004625
VMA43		Required for V-ATPase activity		An uncharacterized mutant allele exhibits pH-conditional growth, increased calcium sensitivity, and the inability to grow on glycerol. In addition, the mutant allele does not accumulate the lysosomotropic dye quinacrine in their vacuoles.		L0004626
VMA44		Required for V-ATPase activity		An uncharacterized mutant allele exhibits pH-conditional growth, increased calcium sensitivity, and the inability to grow on glycerol. In addition, the mutant allele does not accumulate the lysosomotropic dye quinacrine in their vacuoles.		L0004627
